Timestamp,DA_Price,aFRR_Capacity_Price,Industrial_Load_MW,Optimized_Charge_MW,Optimized_Discharge_MW,Optimized_Reserve_MW,Optimized_SoC_MWh,Net_Grid_Load_MW
2026-06-01 00:00:00,87.45071229516849,33.36685182642445,4.068723657913692,2.5,0.0,2.5,7.25,6.568723657913692
2026-06-01 01:00:00,88.7179063287132,34.96194064260759,4.05208712566299,2.5,0.0,2.5,9.5,6.55208712566299
2026-06-01 02:00:00,110.49868607292773,30.091213313197976,4.84419271893211,0.0,0.0,2.5,9.5,4.84419271893211
2026-06-01 03:00:00,132.07888641724534,32.95262548722356,5.019237490333923,0.0,2.5,2.5,6.7222222,2.519237490333923
2026-06-01 04:00:00,112.00310811524497,27.798734307555108,5.196443427542372,0.0,0.0,2.5,6.7222222,5.196443427542372
2026-06-01 05:00:00,115.65130915305521,26.159478881146512,5.590961389291658,0.0,0.0,2.5,6.7222222,5.590961389291658
2026-06-01 06:00:00,143.59494300023243,23.877304296958517,5.702703058284999,0.0,2.5,2.5,3.9444444,3.2027030582849987
2026-06-01 07:00:00,129.20195782204644,33.90563067523667,5.599647407001471,0.0,1.886617,2.5,1.8482033,3.7130304070014706
2026-06-01 08:00:00,105.6366799313934,30.72631154693487,5.057611334871136,0.0,0.0,2.5,1.8482033,5.057611334871136
2026-06-01 09:00:00,113.38191842683159,29.583980120176495,4.884789441318836,0.0,0.0,2.5,1.8482033,4.884789441318836
2026-06-01 10:00:00,88.98477820166273,36.6397477513641,7.663854321050075,0.0,0.96393914,2.5,0.7771598,6.699915181050075
2026-06-01 11:00:00,78.46071966029601,31.24432851045024,7.399358999068842,0.0,0.69944382,2.5,0.0,6.699915179068842
2026-06-01 12:00:00,78.18276810964066,35.53345024537757,6.699915178786572,0.0,0.0,2.5,0.0,6.699915178786572
2026-06-01 13:00:00,35.364752736283386,28.29310264341521,6.365266569897875,0.33464861,0.0,2.5,0.30118375,6.699915179897875
2026-06-01 14:00:00,28.882714739262394,28.772554760348903,2.832101088709715,3.2764625,0.0,1.7235375,3.25,6.108563588709715
2026-06-01 15:00:00,38.88689134096773,31.357386928756043,2.5353038356682025,2.5,0.0,2.5,5.5,5.035303835668202
2026-06-01 16:00:00,27.117096310230828,30.564195861696096,2.7491137813006095,2.5,0.0,2.5,7.75,5.2491137813006095
2026-06-01 17:00:00,44.806959221307544,26.196528977216623,2.774744851928356,2.5,0.0,2.5,10.0,5.2747448519283555
2026-06-01 18:00:00,147.21627535988893,26.687615283361612,2.5169718441604485,0.0,2.5,2.5,7.2222222,0.0169718441604485
2026-06-01 19:00:00,143.3000357438756,28.69733929054365,2.8688787519748415,0.0,1.5,2.5,5.5555556,1.3688787519748415
2026-06-01 20:00:00,192.75129296269833,27.389965461084255,2.97607325859234,0.0,5.0,0.0,0.0,-2.02392674140766
2026-06-01 21:00:00,55.82999749128462,31.384661420280757,3.091600124025825,2.5,0.0,2.5,2.25,5.591600124025825
2026-06-01 22:00:00,70.22105222403789,33.24725656059863,3.667583964366146,0.66324769,0.0,2.5,2.8469229,4.330831654366146
2026-06-01 23:00:00,58.628777206798134,38.171366678656746,4.307607313293193,2.3923079,0.0,2.5,5.0,6.699915213293194
